Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N]
0;0.000000;262701;  0.000000000000E+00; -6.160183474435E-12;  4.313267514241E+04;  4.313267514241E+04
1;0.050069;262701; -9.464422760493E-01; -1.566283380609E-02;  6.679294560611E+05;  6.679294560618E+05
2;0.100126;262701;  6.349751472300E+03; -1.950014831517E-01;  2.088508457706E+06;  2.088518110348E+06
3;0.150086;262701; -5.701933743193E+03; -2.582410970332E-01;  2.486551426567E+06;  2.486557964137E+06
4;0.200084;262701;  1.059481153296E+04; -4.323323285892E-02;  1.070575808494E+06;  1.070628232284E+06
5;0.250085;262701; -7.681972784530E+02;  1.309228159077E-01;  3.348735013907E+05;  3.348743825089E+05
6;0.300017;262701; -2.879561446617E+04;  9.698165153655E-02;  5.324804882629E+05;  5.332585281017E+05
7;0.350201;262701;  9.728236977387E+03;  1.032304834737E-01;  1.861123168096E+06;  1.861148593051E+06
8;0.400149;262701;  7.005199805221E+04;  3.104824882390E-01;  2.635483866108E+06;  2.636414703902E+06
9;0.450137;262701; -2.470718433626E+04; -7.913100544216E-02;  1.467049162222E+06;  1.467257199449E+06
10;0.500089;262701; -8.724019432538E+04; -3.367088389398E-01;  6.859958650139E+04;  1.109808757138E+05
11;0.550007;262701;  3.266560051195E+03; -2.906848963005E-01;  7.379947270540E+05;  7.380019563485E+05
12;0.600001;262701;  5.999350764886E+04;  3.015599146510E-01;  1.602347051295E+06;  1.603469767022E+06
13;0.650040;262701; -4.332904573585E+04;  2.494757658409E-01;  2.282287850000E+06;  2.282699112117E+06
14;0.700187;262701;  1.195885309319E+04;  4.647560421450E-02;  1.726601218852E+06;  1.726642633294E+06
15;0.750107;262701;  2.555449891971E+04; -1.074042200870E-01;  4.776679058275E+05;  4.783509806332E+05
16;0.800045;262701; -3.427060502978E+03;  4.065966389805E-01;  3.275380179125E+05;  3.275559462472E+05
17;0.850078;262701; -2.200645220796E+04;  3.739399299386E-01;  1.515439555322E+06;  1.515599330224E+06
18;0.900196;262701; -2.764607287785E+03;  1.102162939744E+00;  2.380539933774E+06;  2.380541539093E+06
19;0.950102;262701;  2.808877144155E+04;  1.070091069893E-01;  1.745418253009E+06;  1.745644252710E+06
20;1.000042;262701;  6.525997252821E+03;  8.409863588365E-01;  7.606465322498E+05;  7.606745267619E+05
21;1.050135;262701; -3.448533360752E+04; -3.460806513641E+00;  3.834298147912E+05;  3.849774813113E+05
22;1.100159;262701; -9.919402343620E+02;  1.393080313394E+00;  9.812083124081E+05;  9.812088138038E+05
23;1.150008;262701;  4.283597741881E+04; -2.225026841777E+00;  2.407865040611E+06;  2.408246037008E+06
24;1.200007;262701; -2.688915982847E+04;  4.250342854769E+00;  2.093614263525E+06;  2.093786930747E+06
25;1.250116;262701; -7.062051808213E+03;  1.725585213945E+00;  7.171239437668E+05;  7.171587155591E+05
26;1.300124;262701;  1.321120552491E+04; -1.837423218824E+00;  4.010768683823E+05;  4.012943935643E+05
27;1.350204;262701;  3.722054776164E+03; -3.516920330283E+00;  1.054472108960E+06;  1.054478677963E+06
28;1.400050;262701;  5.331133686950E+01;  6.070675712035E+00;  1.949996540986E+06;  1.949996541724E+06
29;1.450026;262701; -9.714696322943E+03;  6.819407323737E+00;  2.105047242497E+06;  2.105069658827E+06
30;1.500008;262701;  5.403096701127E+03;  5.403894719988E+00;  1.358805751872E+06;  1.358816494161E+06
31;1.550155;262701;  9.665517702555E+03;  1.627965534278E+00;  3.490950264735E+05;  3.492288071503E+05
32;1.600138;262701; -6.531927697208E+03;  7.509890956662E-02;  5.414239661946E+05;  5.414633664888E+05
33;1.650064;262701;  5.955778526487E+01; -6.574913642603E+00;  1.934620358625E+06;  1.934620359553E+06
34;1.700184;262701; -1.414748741242E+03; -1.618114335140E+01;  2.367514283284E+06;  2.367514706043E+06
35;1.750176;262701;  4.685520155878E+03; -1.249714450741E+01;  1.376419546190E+06;  1.376427521299E+06
36;1.800009;262701;  3.008645726470E+03;  2.961873050715E-01;  4.020269974476E+05;  4.020382551772E+05
37;1.850010;262701; -6.254690336885E+03;  1.609397478391E+01;  5.373270445910E+05;  5.373634470813E+05
38;1.900103;262701; -1.676274050569E+03;  2.625642437473E+01;  1.699223856318E+06;  1.699224683338E+06
39;1.950002;262701;  1.308556428047E+04;  1.995619056963E+01;  2.328260046264E+06;  2.328296818582E+06
40;2.000076;262701; -2.486257032985E+03; -1.143190059275E+01;  1.580615659464E+06;  1.580617614905E+06
41;2.050005;262701; -1.410848332441E+04; -2.653778343538E+01;  5.151812845922E+05;  5.153744328156E+05
42;2.100160;262701;  1.226517323900E+04; -1.094477385370E+01;  5.994260983595E+05;  5.995515674142E+05
43;2.150017;262701;  1.392819918269E+04; -1.171304559181E+01;  1.457611229802E+06;  1.457677773761E+06
44;2.200002;262701; -2.340027183834E+04;  1.520245198260E+01;  2.015060924080E+06;  2.015196789573E+06
45;2.250081;262701;  1.167743016268E+03;  7.628170975041E+01;  1.905959362749E+06;  1.905959722002E+06
46;2.300080;262701;  3.226797654533E+04;  5.808623010526E+01;  9.186654064996E+05;  9.192319374257E+05
47;2.350133;262701; -2.261170504120E+04; -5.977416630861E+00;  2.954314417280E+05;  2.962955045256E+05
48;2.400025;262701; -1.526114227540E+04; -4.844377972568E+01;  1.176739323786E+06;  1.176838281564E+06
49;2.450189;262701;  2.538234127355E+04; -8.161992579693E+01;  2.125591671415E+06;  2.125743216736E+06
50;2.500013;262701;  3.901866223818E+03; -4.700661233380E+01;  1.995791926324E+06;  1.995795741039E+06
51;2.550183;262701; -1.133020615058E+04;  7.288603906187E+00;  1.002397719701E+06;  1.002461750934E+06
52;2.600148;262701; -1.131347943459E+03;  3.187614252023E+01;  4.313425006890E+05;  4.313439855439E+05
53;2.650088;262701;  8.969850976045E+03;  7.177270743059E+01;  9.556462743050E+05;  9.556883723112E+05
54;2.700034;262701;  7.438462012027E+03;  1.762336718558E+02;  1.902965805459E+06;  1.902980351586E+06
