Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N]
0;0.000000;233069;  6.911417570958E+01; -1.332255808463E+03; -6.971360285338E+04;  6.972636592500E+04
1;0.050069;233069; -2.849578185260E+01; -1.868590946052E+02;  1.546370083708E+06;  1.546370095261E+06
2;0.100125;233069;  9.830962917494E+03; -1.052511763247E+03;  2.373564473929E+06;  2.373585066416E+06
3;0.150086;233069; -3.902589184639E+03; -3.121610353956E+03;  2.784588213546E+06;  2.784592697985E+06
4;0.200073;233069;  2.537238776239E+04; -1.976298747678E+03;  1.423671764376E+06;  1.423899208687E+06
5;0.250064;233069;  2.478597599545E+02; -1.480276301442E+03;  1.528724462510E+05;  1.528798138249E+05
6;0.300206;233069; -3.123476483141E+04; -1.525902568490E+03;  7.953996868484E+05;  7.960141963252E+05
7;0.350187;233069;  5.832472700483E+03; -2.500072811396E+03;  2.420681958859E+06;  2.420690276357E+06
8;0.400117;233069;  8.846779698560E+04; -2.218265124197E+03;  2.925666854663E+06;  2.927004956654E+06
9;0.450199;233069; -1.625886999609E+04; -1.986839308142E+03;  1.527930423078E+06;  1.528018218528E+06
10;0.500174;233069; -1.135370849432E+05; -1.528300932822E+03;  8.295117245359E+04;  1.406197083362E+05
11;0.550072;233069; -1.887932793695E+04; -1.420503254441E+03;  9.453003051426E+05;  9.454898803031E+05
12;0.600129;233069;  6.030540872764E+04; -2.490735590806E+03;  2.060487565745E+06;  2.061371377185E+06
13;0.650121;233069; -5.509148622701E+04; -2.448285857212E+03;  2.803542567774E+06;  2.804084876618E+06
14;0.700183;233069;  3.141289837897E+04; -2.358812918203E+03;  1.758649101645E+06;  1.758931208689E+06
15;0.750151;233069;  2.908676922625E+04; -1.138921280375E+03;  2.595847230651E+05;  2.612117258748E+05
16;0.800056;233069;  8.784618363189E+03; -1.502751866888E+03;  6.481219912293E+05;  6.481832636670E+05
17;0.850042;233069; -2.453912397970E+04; -2.345584914446E+03;  2.185370254695E+06;  2.185509281719E+06
18;0.900182;233069; -7.125653547222E+03; -2.621179777281E+03;  2.789818536551E+06;  2.789828867942E+06
19;0.950188;233069;  3.027206512182E+04; -2.193025518818E+03;  1.742671673042E+06;  1.742935961907E+06
20;1.000105;233069;  9.742233363045E+03; -1.551385032490E+03;  5.655693476996E+05;  5.656553765004E+05
21;1.050208;233069; -3.663448351202E+04; -1.247924952927E+03;  6.247584241211E+05;  6.258328300826E+05
22;1.100162;233069; -8.847850299843E+03; -2.165542257358E+03;  1.665173374597E+06;  1.665198288942E+06
23;1.150203;233069;  5.523654851059E+04; -2.743723160883E+03;  2.972244142251E+06;  2.972758625495E+06
24;1.200103;233069; -3.213555503715E+04; -2.295943299515E+03;  2.061188106840E+06;  2.061439879558E+06
25;1.250095;233069; -2.483703594470E+04; -1.482940738989E+03;  4.119284852796E+05;  4.126792391828E+05
26;1.300174;233069;  1.677972116395E+04; -1.513208092895E+03;  6.057428033902E+05;  6.059770562489E+05
27;1.350123;233069;  1.202762673706E+04; -2.238413040194E+03;  1.793831593744E+06;  1.793873312420E+06
28;1.400109;233069; -1.098515964579E+03; -2.736487159902E+03;  2.581526550003E+06;  2.581528234102E+06
29;1.450118;233069; -1.649349993231E+04; -2.607145348450E+03;  2.108310931960E+06;  2.108377057969E+06
30;1.500146;233069;  4.492208319788E+03; -1.963610607340E+03;  1.008563938887E+06;  1.008575854622E+06
31;1.550055;233069;  8.950702236379E+03; -1.417316543578E+03;  3.997752817145E+05;  3.998779810475E+05
32;1.600052;233069; -4.642540693980E+03; -2.079334910013E+03;  1.285812003108E+06;  1.285822065511E+06
33;1.650013;233069; -4.088198222287E+03; -3.001723175579E+03;  2.752779427580E+06;  2.752784099891E+06
34;1.700135;233069; -9.799840298533E+03; -2.386560434741E+03;  2.400438587590E+06;  2.400459777904E+06
35;1.750086;233069;  6.087265228131E+03; -1.745655577662E+03;  9.207316647373E+05;  9.207534417863E+05
36;1.800141;233069;  1.721331021471E+04; -1.415761250346E+03;  4.046936121670E+05;  4.050619979179E+05
37;1.850094;233069; -9.912384502905E+02; -2.220264780354E+03;  1.261130007047E+06;  1.261132351025E+06
