Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N]
0;0.000000;247818; -6.579701469376E+02;  1.322243425437E+02; -1.223713656742E+04;  1.225552607441E+04
1;0.050069;247818;  6.709612503642E+01;  4.628614242423E+02;  1.613701159296E+06;  1.613701227073E+06
2;0.100126;247818;  1.157870381097E+04;  5.692712777123E+02;  2.490518986810E+06;  2.490545967075E+06
3;0.150088;247818; -6.958651643625E+03;  1.852333664391E+02;  2.984357955188E+06;  2.984366073698E+06
4;0.200076;247818;  2.626848181429E+04; -1.882419358343E+02;  1.597479457177E+06;  1.597695429259E+06
5;0.250067;247818; -2.535042743230E+03; -7.562802877408E+01;  2.329119126772E+05;  2.329257204094E+05
6;0.300001;247818; -3.541366401118E+04;  1.165998816844E+02;  8.445262534305E+05;  8.452684389752E+05
7;0.350190;247818;  1.349355914695E+04;  9.914769857643E+01;  2.498704664768E+06;  2.498741100575E+06
8;0.400129;247818;  1.087713664204E+05; -4.972408381104E+01;  3.118328648218E+06;  3.120225115424E+06
9;0.450116;247818; -3.245110741925E+04;  4.895996579375E+01;  1.762299582348E+06;  1.762598336183E+06
10;0.500066;247818; -1.312764215136E+05; -3.068003306046E+01;  2.058181623756E+05;  2.441200846927E+05
11;0.550199;247818; -4.441738973947E+03; -7.853901236842E+01;  9.383162820785E+05;  9.383267983102E+05
12;0.600195;247818;  6.598302541987E+04;  4.298260557067E-01;  2.085705397772E+06;  2.086748850710E+06
13;0.650027;247818; -5.338302372621E+04; -1.401017501361E+02;  3.025510186738E+06;  3.025981106501E+06
14;0.700154;247818;  3.292751833897E+04; -1.013248414633E+02;  2.045227951216E+06;  2.045492997829E+06
15;0.750074;247818;  3.188321110796E+04; -2.207489253480E+01;  4.208450255715E+05;  4.220510338645E+05
16;0.800011;247818;  5.808523244802E+03;  4.226215573582E+01;  6.123434014630E+05;  6.123709513389E+05
