Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N]
0;0.000000;247818; -4.319910670922E+01;  7.837263051497E+01;  5.942643944439E+03;  5.943317716765E+03
1;0.050069;247818;  3.875982667488E+02;  7.386006648841E+01;  6.582180946100E+05;  6.582182128746E+05
2;0.100126;247818;  6.173700054063E+03;  3.068055946259E+02;  2.000986669352E+06;  2.000996216795E+06
3;0.150086;247818; -4.742500806243E+03;  4.593463137561E+01;  2.340224875365E+06;  2.340229681185E+06
4;0.200084;247818;  1.181877734907E+04; -1.763240579137E+02;  9.527453623483E+05;  9.528186816307E+05
5;0.250084;247818;  1.851734968931E+03; -1.178214202183E+02;  2.651524652624E+05;  2.651589573048E+05
6;0.300016;247818; -2.496884619514E+04;  1.019420994347E+02;  5.440446744129E+05;  5.446173532211E+05
7;0.350199;247818;  9.562918405260E+03;  6.276491929777E+01;  1.835560933548E+06;  1.835585844933E+06
8;0.400135;247818;  5.845719608694E+04; -3.134202766400E+01;  2.489152805994E+06;  2.489839138648E+06
9;0.450020;247818; -2.444911613391E+04; -3.434397334993E+01;  1.283072789137E+06;  1.283305708973E+06
10;0.500207;247818; -7.449807744205E+04; -5.062098775907E-01; -8.429203989380E+03;  7.497342877789E+04
11;0.550121;247818;  4.382995522867E+03; -4.636625611429E+01;  7.506511732206E+05;  7.506639705334E+05
12;0.600168;247818;  4.968621811498E+04; -1.947074988277E+01;  1.621068132208E+06;  1.621829402222E+06
13;0.650184;247818; -3.398061223157E+04; -4.233268024540E+01;  2.175958157644E+06;  2.176223469135E+06
14;0.700101;247818;  1.102072958005E+04; -3.783780675628E+00;  1.471164166605E+06;  1.471205445068E+06
15;0.750077;247818;  1.877097046294E+04; -3.534742429435E+01;  3.321084958120E+05;  3.326385479347E+05
16;0.800188;247818; -2.556959585395E+03;  7.673239826863E+00;  3.907639842272E+05;  3.907723499307E+05
17;0.850170;247818; -1.738925020749E+04; -3.561613052053E+01;  1.611143138343E+06;  1.611236978076E+06
18;0.900093;247818; -3.230407472266E+03; -3.158282903768E+01;  2.282972161460E+06;  2.282974447192E+06
19;0.950111;247818;  2.325594890481E+04;  6.857928564135E+00;  1.458119461983E+06;  1.458304907974E+06
20;1.000005;247818;  4.317389297967E+03; -4.320938981002E+01;  5.373549841879E+05;  5.373723297202E+05
21;1.050139;247818; -2.854348906081E+04; -9.138846215719E+00;  4.304400488870E+05;  4.313854037136E+05
22;1.100199;247818; -7.442642785234E+02; -2.748004803792E+01;  1.158727705684E+06;  1.158727945035E+06
23;1.150094;247818;  3.463107790858E+04; -5.741721155300E+01;  2.362625076534E+06;  2.362878872715E+06
24;1.200041;247818; -2.131217364101E+04; -2.850533714518E+01;  1.767696407122E+06;  1.767824877444E+06
25;1.250142;247818; -5.867125096562E+03; -7.224524913354E+01;  4.278466369533E+05;  4.278868695444E+05
26;1.300162;247818;  9.967436557318E+03; -8.051759896511E+00;  4.142772646281E+05;  4.143971547249E+05
27;1.350017;247818;  3.261453541178E+03; -4.452183377955E+01;  1.266441824390E+06;  1.266446024758E+06
28;1.400093;247818; -2.396890223594E+02; -6.669329317149E+01;  1.985016869365E+06;  1.985016884957E+06
29;1.450035;247818; -8.293056182191E+03; -3.707897372340E+01;  1.802837432798E+06;  1.802856507116E+06
30;1.500009;247818;  4.114935924356E+03;  1.317970252900E+01;  9.861347883550E+05;  9.861433737927E+05
31;1.550154;247818;  6.895715499171E+03;  3.906420902922E+01;  2.776447133857E+05;  2.777303355582E+05
32;1.600112;247818; -3.150500579133E+03;  5.119629400333E+00;  7.941660342934E+05;  7.941722833903E+05
33;1.650025;247818; -2.643679584748E+03; -1.451764997423E+01;  2.077753584675E+06;  2.077755266600E+06
34;1.700099;247818; -3.577999222907E+03; -5.954447614713E+01;  2.096235459912E+06;  2.096238514343E+06
35;1.750046;247818;  3.647288655631E+03; -5.608861795366E+01;  9.285607211844E+05;  9.285678859335E+05
36;1.800070;247818;  7.686757340208E+03; -5.512769611648E+01;  2.451269032587E+05;  2.452474015737E+05
37;1.850111;247818; -4.471882629535E+03; -3.502442567358E+00;  8.138718484582E+05;  8.138841339277E+05
38;1.900023;247818; -6.980588679289E+03; -5.889667697740E+01;  1.921574934475E+06;  1.921587614680E+06
39;1.950037;247818;  1.263749205823E+04; -1.143173068657E+02;  2.098533959872E+06;  2.098572014492E+06
