Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N]
0;0.000000;247818; -4.319910670922E+01;  7.837263051497E+01;  5.942643944439E+03;  5.943317716765E+03
1;0.050069;247818;  3.889179731023E+02;  7.355985142177E+01;  6.582242470235E+05;  6.582243660318E+05
2;0.100126;247818;  6.172728564047E+03;  3.061597129096E+02;  2.000988804630E+06;  2.000998348966E+06
3;0.150086;247818; -4.743690779160E+03;  4.592008393681E+01;  2.340223485384E+06;  2.340228293619E+06
4;0.200084;247818;  1.171001510763E+04; -1.754854045348E+02;  9.526531580386E+05;  9.527251412500E+05
5;0.250084;247818;  1.607018405823E+03; -1.174447408288E+02;  2.620035662610E+05;  2.620085209204E+05
6;0.300016;247818; -2.454322710119E+04;  1.028635295039E+02;  5.429491433414E+05;  5.435035904505E+05
7;0.350199;247818;  9.224995520577E+03;  6.204555324538E+01;  1.840163322035E+06;  1.840186446030E+06
8;0.400146;247818;  5.819215831554E+04; -3.242480708472E+01;  2.486665530158E+06;  2.487346334393E+06
9;0.450133;247818; -2.450386239699E+04; -3.236114003528E+01;  1.275383236545E+06;  1.275618610863E+06
10;0.500130;247818; -7.488673867173E+04;  5.421590523838E+00; -9.038393086070E+03;  7.543020752895E+04
11;0.550066;247818;  3.352532512590E+03; -4.542701369552E+01;  7.531297375564E+05;  7.531372007341E+05
12;0.600159;247818;  4.877543889958E+04; -1.432494475544E+01;  1.622635790762E+06;  1.623368705226E+06
13;0.650202;247818; -3.423967031640E+04; -4.253129786823E+01;  2.173814708686E+06;  2.174084346232E+06
14;0.700083;247818;  1.114639326867E+04; -2.243254935108E+00;  1.469929851135E+06;  1.469972111758E+06
15;0.750195;247818;  1.887832485501E+04; -1.923650948950E+01;  3.308628238462E+05;  3.314009651809E+05
16;0.800170;247818; -2.492052323562E+03;  1.645326920116E+01;  3.944493114213E+05;  3.944571838314E+05
17;0.850168;247818; -1.777542239338E+04; -3.108891486993E+01;  1.611196974029E+06;  1.611295024422E+06
18;0.900024;247818; -2.837310797242E+03; -2.506170217816E+01;  2.278711026197E+06;  2.278712792757E+06
19;0.950020;247818;  2.334139823174E+04;  2.267912027322E+00;  1.460944697561E+06;  1.461131147504E+06
20;1.000087;247818;  3.417745953161E+03; -4.931950855547E+01;  5.427742243543E+05;  5.427849869361E+05
21;1.050202;247818; -2.802100436097E+04; -7.241129108907E+00;  4.307358942672E+05;  4.316463683943E+05
22;1.100029;247818;  2.469312839455E+02; -2.762886487880E+01;  1.150350703152E+06;  1.150350729987E+06
23;1.150028;247818;  3.434377807054E+04; -5.399397944772E+01;  2.368317694103E+06;  2.368566697015E+06
24;1.200093;247818; -2.298621856287E+04; -2.647738515947E+01;  1.770909027168E+06;  1.771058200470E+06
25;1.250173;247818; -5.266731495641E+03; -6.516864007388E+01;  4.216574496085E+05;  4.216903455356E+05
26;1.300144;247818;  1.102196489920E+04;  1.344416995415E+01;  4.133564850039E+05;  4.135034069820E+05
27;1.350187;247818;  3.389986808091E+03; -3.283461769703E+01;  1.278206038185E+06;  1.278210533966E+06
28;1.400060;247818; -1.130133145086E+03; -4.930173309459E+01;  1.990514643243E+06;  1.990514964675E+06
29;1.450036;247818; -8.288750399554E+03; -3.838729420699E+01;  1.799209812874E+06;  1.799228905837E+06
30;1.500045;247818;  4.749571441634E+03;  2.962381276684E+01;  9.810464830070E+05;  9.810579805123E+05
31;1.550186;247818;  7.348031673060E+03;  5.786917145211E+01;  2.826935507228E+05;  2.827890389293E+05
