Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N]
0;0.000000;262701; -4.547473508865E-13; -1.953259776144E-11;  4.697731135113E+04;  4.697731135113E+04
1;0.050069;262701; -2.165016352973E-01; -1.352657373808E-03;  1.661070548773E+06;  1.661070548773E+06
2;0.100126;262701;  1.067183586413E+04;  2.742294254966E-02;  2.609219538404E+06;  2.609241362478E+06
3;0.150088;262701; -6.575339586490E+03; -1.519692654606E-01;  3.219882936705E+06;  3.219889650466E+06
4;0.200076;262701;  2.142988979513E+04; -1.100209301598E-01;  1.802839075281E+06;  1.802966436608E+06
5;0.250068;262701; -5.275394945379E+03; -1.098264378400E-02;  3.125103094934E+05;  3.125548325198E+05
6;0.300003;262701; -4.042448193790E+04; -7.308889296288E-02;  8.419947753806E+05;  8.429646140308E+05
7;0.350191;262701;  1.276739325432E+04; -1.622857782841E-01;  2.540295651195E+06;  2.540327735118E+06
8;0.400125;262701;  1.256244588123E+05; -5.171568754587E-03;  3.331534299030E+06;  3.333901961705E+06
9;0.450002;262701; -3.598337879945E+04; -9.116047374407E-02;  2.078160449570E+06;  2.078471952591E+06
10;0.500185;262701; -1.422041233942E+05; -2.767109048067E-01;  3.604085834074E+05;  3.874485252316E+05
11;0.550084;262701;  9.085950964915E+02; -4.618510619291E-01;  8.562735905627E+05;  8.562740726195E+05
12;0.600138;262701;  8.391161817353E+04; -4.069608811156E-01;  2.037376267471E+06;  2.039103532172E+06
13;0.650141;262701; -6.000980339290E+04;  4.950930130638E-01;  3.256547226463E+06;  3.257100092826E+06
14;0.700020;262701;  3.351631962647E+04;  5.506272578689E-01;  2.425694137307E+06;  2.425925677231E+06
15;0.750201;262701;  3.875895394151E+04; -2.207223634559E-01;  6.483198902951E+05;  6.494774335286E+05
16;0.800072;262701;  5.685805073478E+03; -5.907740899561E-01;  5.293653165085E+05;  5.293958506655E+05
17;0.850068;262701; -3.503401418557E+04; -1.783569635927E+00;  1.962697071776E+06;  1.963009724304E+06
18;0.900010;262701; -7.844610642112E+03; -1.714569094987E+00;  3.101490766873E+06;  3.101500687557E+06
19;0.950047;262701;  3.954097351079E+04;  2.225414567790E-01;  2.552093896310E+06;  2.552400192793E+06
20;1.000180;262701;  1.536827865291E+04;  2.055542054646E+00;  1.153167106465E+06;  1.153269508582E+06
21;1.050054;262701; -5.194519721500E+04; -1.630220667670E+01;  5.111180499350E+05;  5.137508781003E+05
22;1.100205;262701; -1.131331893562E+04; -1.648215058734E+01;  1.267259244371E+06;  1.267309742684E+06
23;1.150023;262701;  7.635844855262E+04; -1.040217913482E+01;  3.126794663115E+06;  3.127726886744E+06
24;1.200037;262701; -3.343655717660E+04;  8.347775615024E+00;  2.938127875572E+06;  2.938318127201E+06
25;1.250199;262701; -3.583083697944E+04; -3.134118132436E+01;  1.190796839354E+06;  1.191335789136E+06
26;1.300176;262701;  2.153141590722E+04; -9.237104934197E+00;  5.930981689447E+05;  5.934888709672E+05
27;1.350155;262701;  1.651281474636E+04;  2.478135888428E+01;  1.263447582617E+06;  1.263555486588E+06
28;1.400164;262701; -1.334585120821E+03;  1.134007718106E+01;  2.531602931599E+06;  2.531603283401E+06
29;1.450153;262701; -1.786590842023E+04; -3.187366356037E+01;  2.960251217631E+06;  2.960305130081E+06
30;1.500100;262701;  6.030770162661E+03; -2.370038583210E+01;  2.011978804879E+06;  2.011987843411E+06
31;1.550071;262701;  1.535834239184E+04; -5.313207453112E-01;  5.691751022453E+05;  5.693822755384E+05
32;1.600084;262701; -6.919105302092E+03;  2.895042089702E+01;  6.574019332384E+05;  6.574383443958E+05
33;1.650067;262701; -9.159817841531E+03;  9.953378255038E+01;  2.437093708239E+06;  2.437110923801E+06
34;1.700138;262701; -6.472287708086E+03;  1.484226290699E+02;  3.184126532781E+06;  3.184133114255E+06
35;1.750098;262701;  7.880750335569E+03;  8.358565161650E+01;  2.117883279757E+06;  2.117897943690E+06
36;1.800014;262701;  2.012675268804E+04;  1.693314647743E+01;  7.881346697301E+05;  7.883916184809E+05
37;1.850182;262701; -7.634222117932E+03; -2.393731034339E+01;  6.061327084075E+05;  6.061807833656E+05
38;1.900081;262701; -9.987903221644E+03; -7.082294843629E+01;  2.018308535679E+06;  2.018333250091E+06
39;1.950044;262701;  2.449200486954E+04; -9.211079766785E+01;  3.119699165027E+06;  3.119795305313E+06
40;2.000054;262701;  8.843127950235E+03; -4.696498330042E+01;  2.445052037571E+06;  2.445068029636E+06
41;2.050150;262701; -3.805793885367E+04;  3.321629416390E+00;  9.595316223025E+05;  9.602860724385E+05
42;2.100001;262701;  1.322330637329E+04;  7.720176893576E+01;  6.596346502948E+05;  6.597671814065E+05
43;2.150037;262701;  4.336014106973E+04;  7.903415026146E+01;  1.701509152810E+06;  1.702061545649E+06
44;2.200008;262701; -4.887214425164E+04;  4.728190683287E+01;  2.733189035329E+06;  2.733625942144E+06
45;2.250116;262701; -1.776044770388E+04;  3.310864872951E+01;  2.753238859477E+06;  2.753296143159E+06
46;2.300076;262701;  7.098388932525E+04; -2.976118382124E+01;  1.512839187390E+06;  1.514503588748E+06
47;2.350110;262701; -3.741514492163E+04;  4.410565424280E+01;  4.468334563519E+05;  4.483971818937E+05
48;2.400104;262701; -3.270411425883E+04; -1.073037477994E+01;  1.307738885589E+06;  1.308147756213E+06
49;2.450137;262701;  4.223666797721E+04;  1.063814101852E+01;  2.699314236460E+06;  2.699644658727E+06
50;2.500132;262701;  6.536878794172E+03; -1.019681968405E+01;  2.857867345188E+06;  2.857874821188E+06
51;2.550047;262701; -2.159054258004E+04; -1.345959083173E+02;  1.724381175765E+06;  1.724516340595E+06
52;2.600172;262701; -5.851554700084E+03; -1.196448278341E+02;  6.974553740467E+05;  6.974799307464E+05
53;2.650108;262701;  9.296003860566E+03; -1.771625677966E+02;  9.974536314419E+05;  9.974969643819E+05
