Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N]
0;0.000000;262701;  0.000000000000E+00; -6.160183474435E-12;  4.313267514241E+04;  4.313267514241E+04
1;0.050069;262701; -2.867447086278E-02; -6.065984536895E-03;  6.679269356003E+05;  6.679269356003E+05
2;0.100126;262701;  6.346845802815E+03;  1.403480283172E-01;  2.088508208471E+06;  2.088517852283E+06
3;0.150086;262701; -5.705567956699E+03;  3.038283156389E-01;  2.486550225529E+06;  2.486556771438E+06
4;0.200084;262701;  1.069638752847E+04;  2.568044945483E-01;  1.070665464969E+06;  1.070718894287E+06
5;0.250085;262701; -5.409128353025E+02;  3.026898598618E-02;  3.373608434754E+05;  3.373612771157E+05
6;0.300017;262701; -2.919208346464E+04;  2.592977583227E-02;  5.332833655208E+05;  5.340817593573E+05
7;0.350201;262701;  1.001502254620E+04; -4.252864840379E-01;  1.857483858819E+06;  1.857510857693E+06
8;0.400137;262701;  7.028904848940E+04;  2.475738230167E-02;  2.637458904443E+06;  2.638395350012E+06
9;0.450024;262701; -2.459601943149E+04; -1.013694738869E-03;  1.473682025894E+06;  1.473887267607E+06
10;0.500003;262701; -8.705866117807E+04;  5.367587771274E-02;  6.812262299401E+04;  1.105436667101E+05
11;0.550125;262701;  4.093422742395E+03;  1.940353243336E-01;  7.365140092500E+05;  7.365253844446E+05
12;0.600170;262701;  6.162530065050E+04;  4.619606067279E-01;  1.603741576726E+06;  1.604925145482E+06
13;0.650191;262701; -4.371250022972E+04; -1.410909064377E-01;  2.286868553765E+06;  2.287286288350E+06
14;0.700122;262701;  1.195638938709E+04; -1.644858780081E-01;  1.728363463899E+06;  1.728404819071E+06
15;0.750104;262701;  2.549312362291E+04; -8.710017394858E-03;  4.783669871403E+05;  4.790457950319E+05
16;0.800198;262701; -3.905745316737E+03;  5.750879899797E-01;  3.269418795963E+05;  3.269652083644E+05
17;0.850184;262701; -2.127278554445E+04;  7.384887656445E-01;  1.517648594345E+06;  1.517797676676E+06
18;0.900102;262701; -3.159571046786E+03;  1.890174821348E+00;  2.383341573346E+06;  2.383343667651E+06
19;0.950130;262701;  2.812938030590E+04;  2.564411118593E+00;  1.744491245148E+06;  1.744718019177E+06
20;1.000038;262701;  6.893436934932E+03;  1.840800721161E+00;  7.563401157028E+05;  7.563715291426E+05
21;1.050181;262701; -3.467881798771E+04; -3.056079258988E-01;  3.814547143087E+05;  3.830278312152E+05
22;1.100035;262701; -2.341203860032E+03;  3.514396565492E-01;  9.828569433589E+05;  9.828597317748E+05
23;1.150126;262701;  4.260247819740E+04; -2.944375076687E+00;  2.404871031745E+06;  2.405248355260E+06
24;1.200073;262701; -2.580344959794E+04; -3.702566380365E+00;  2.087580206877E+06;  2.087739672030E+06
25;1.250159;262701; -7.358055340709E+03; -1.522102119987E+01;  7.202465107828E+05;  7.202840949965E+05
26;1.300190;262701;  1.217383737514E+04;  7.882523995348E+00;  4.031875423394E+05;  4.033712888596E+05
27;1.350040;262701;  3.732921554832E+03;  1.410736648427E+01;  1.045798990149E+06;  1.045805652451E+06
28;1.400097;262701;  1.161239622318E+03; -3.530437612642E+00;  1.945483965364E+06;  1.945484311934E+06
29;1.450171;262701; -9.981048559986E+03; -8.133422246600E+00;  2.107484379737E+06;  2.107508014750E+06
30;1.500014;262701;  4.629642639044E+03; -1.537618271327E+01;  1.361093783497E+06;  1.361101657225E+06
31;1.550125;262701;  9.505289508897E+03; -2.036743025005E+01;  3.447224112836E+05;  3.448534352223E+05
32;1.600024;262701; -4.107912850257E+03; -9.943949345888E+00;  5.344362947776E+05;  5.344520822510E+05
33;1.650033;262701; -3.741803880862E+03; -6.636406209061E+00;  1.933789923662E+06;  1.933793543788E+06
34;1.700132;262701; -3.620110004501E+03; -2.400781446371E+01;  2.374350132196E+06;  2.374352892060E+06
35;1.750101;262701;  5.208572897613E+03; -8.666734617813E+00;  1.373589003359E+06;  1.373598878660E+06
36;1.800173;262701;  8.483724903383E+03;  1.366957291213E+01;  3.948101902654E+05;  3.949013295907E+05
37;1.850048;262701; -6.726005804484E+03;  1.595334682342E+01;  5.547345495389E+05;  5.547753237669E+05
38;1.900129;262701; -6.976416952706E+03;  1.178825329538E+01;  1.690841137009E+06;  1.690855529351E+06
39;1.950033;262701;  1.484228454762E+04; -1.024877791745E+01;  2.310526345210E+06;  2.310574016435E+06
40;2.000146;262701;  2.386996631557E+03; -1.716172247813E+01;  1.602198748581E+06;  1.602200526776E+06
41;2.050080;262701; -1.833586480486E+04;  1.189315450911E+00;  5.242490417977E+05;  5.245695966842E+05
42;2.100118;262701;  1.044275596824E+04; -6.561521412491E+00;  5.567050789509E+05;  5.568030137535E+05
43;2.150080;262701;  2.017038824813E+04; -6.405364002114E+01;  1.455776965658E+06;  1.455916694871E+06
44;2.200045;262701; -2.873537092726E+04; -6.089874814917E+01;  2.072718609963E+06;  2.072917789334E+06
45;2.250071;262701; -4.960315189573E+03; -3.239656360077E+01;  1.874555470726E+06;  1.874562033811E+06
46;2.300047;262701;  3.950577045351E+04; -1.298437954587E+01;  8.816374261160E+05;  8.825221001177E+05
47;2.350054;262701; -2.136483773737E+04; -3.605700281539E+01;  3.204227669500E+05;  3.211342510096E+05
48;2.400109;262701; -1.705739846724E+04; -2.068746069147E+01;  1.202790169203E+06;  1.202911113258E+06
49;2.450074;262701;  2.413506223395E+04; -1.454457497259E+01;  2.112413689416E+06;  2.112551560714E+06
50;2.500118;262701;  5.104582499514E+03;  3.375990497114E+01;  1.960088948861E+06;  1.960095595972E+06
51;2.550068;262701; -1.169612301740E+04;  7.906935939815E+01;  1.013777697199E+06;  1.013845168102E+06
52;2.600094;262701; -4.390448751575E+03;  3.983167008530E+01;  4.484832265191E+05;  4.485047180307E+05
53;2.650061;262701;  7.435909219161E+03;  3.154338773304E+01;  9.455310979393E+05;  9.455603370019E+05
54;2.700179;262701;  8.645919870082E+03;  2.655767203196E+01;  1.891922184512E+06;  1.891941940146E+06
55;2.750010;262701; -5.538007988635E+03;  4.890479033784E+01;  2.173253050288E+06;  2.173260106961E+06
56;2.800024;262701; -1.324848876278E+04;  1.186280814166E+00;  1.219926212432E+06;  1.219998150095E+06
57;2.850015;262701;  1.261885097961E+04;  8.478314733399E+01;  3.757670444475E+05;  3.759788747802E+05
58;2.900042;262701;  1.059090274886E+04; -1.300539863854E+00;  8.977583251598E+05;  8.978207937091E+05
59;2.950123;262701; -1.671279830810E+04; -1.231984247341E+02;  1.756393357713E+06;  1.756472874776E+06
60;3.000042;262701;  9.358397163225E+02; -1.783381137189E+01;  2.046912855681E+06;  2.046913069689E+06
61;3.050109;262701;  5.750446176531E+03;  8.508137565285E+01;  1.511125747657E+06;  1.511136691402E+06
62;3.100182;262701;  3.328999542614E+03;  1.407656556106E+02;  6.117976562356E+05;  6.118067294729E+05
63;3.150153;262701; -3.595778021185E+03; -1.019839367815E+00;  5.600196613329E+05;  5.600312051128E+05
64;3.200106;262701; -6.087470637461E+03; -3.344639130860E+02;  1.579747867312E+06;  1.579759631539E+06
65;3.250078;262701;  4.682659033592E+03; -3.848106789379E+02;  2.245742955158E+06;  2.245747870091E+06
66;3.300074;262701;  4.753170242318E+03; -6.784137625529E+01;  1.529539686075E+06;  1.529547072995E+06
67;3.350183;262701; -3.471628678013E+03; -1.984459385341E+01;  6.401433629192E+05;  6.401527768346E+05
68;3.400071;262701; -2.839235204636E+03; -1.855090970634E+02;  6.893718354261E+05;  6.893777071743E+05
69;3.450001;262701; -1.157595471372E+03; -1.786486590194E+02;  1.386955597878E+06;  1.386956092466E+06
70;3.500090;262701;  6.669772029011E+03; -7.165101097100E+00;  1.981909270185E+06;  1.981920493147E+06
71;3.550057;262701; -3.405046505965E+03;  7.246294136837E+01;  1.772283300812E+06;  1.772286573309E+06
72;3.600040;262701; -6.629796223172E+03;  1.800559165646E+02;  9.100758158076E+05;  9.100999819448E+05
73;3.650050;262701;  3.862664097219E+03;  1.700892995899E+02;  5.695128947883E+05;  5.695260191023E+05
74;3.700079;262701;  4.683317117449E+03;  2.220930622948E+02;  1.181741594181E+06;  1.181750895156E+06
75;3.750145;262701; -6.866039060484E+03;  2.611213014066E+02;  1.900058215498E+06;  1.900070638939E+06
76;3.800162;262701; -6.808238895389E+03;  1.168967836014E+02;  1.868232015675E+06;  1.868244424634E+06
77;3.850158;262701;  1.106865227080E+04; -7.612828815668E+01;  1.154771500000E+06;  1.154824548609E+06
78;3.900066;262701;  1.112929088900E+02; -1.856790962747E+02;  5.639032611193E+05;  5.639033026715E+05
79;3.950014;262701; -1.583480252771E+04; -8.459778833287E+01;  9.058732316042E+05;  9.060116223674E+05
80;4.000137;262701;  8.515615381998E+03;  2.100643570674E+01;  1.858034279915E+06;  1.858053794024E+06
81;4.050132;262701;  8.620484719434E+03; -9.100407664937E+01;  2.010577126517E+06;  2.010595608946E+06
82;4.100179;262701; -1.718248750434E+04; -2.344567491941E+02;  1.207120367855E+06;  1.207242674584E+06
83;4.150003;262701; -3.285004011589E+02; -2.324167703904E+02;  6.230633727608E+05;  6.230635027075E+05
84;4.200142;262701;  1.121179656042E+04; -1.302270741422E+02;  8.847945736210E+05;  8.848656162664E+05
85;4.250064;262701; -6.254309258747E+03; -6.822261532779E+01;  1.634703234557E+06;  1.634715200306E+06
86;4.300078;262701; -9.320893460514E+03; -1.455271297786E+02;  1.986867620697E+06;  1.986889489228E+06
87;4.350069;262701;  2.668365816289E+03;  2.512192131167E+01;  1.454120589034E+06;  1.454123037525E+06
88;4.400090;262701;  4.148216258118E+03;  1.888695677405E+02;  7.064498802030E+05;  7.064620843391E+05
