Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N]
0;0.000000;262701;  0.000000000000E+00; -6.160183474435E-12;  4.313267514241E+04;  4.313267514241E+04
1;0.050069;262701; -1.705250718780E+00; -3.806933747806E-02;  6.679305291052E+05;  6.679305291074E+05
2;0.100126;262701;  6.348632284902E+03; -5.187206705470E-02;  2.088507416932E+06;  2.088517066177E+06
3;0.150086;262701; -5.699307218574E+03; -2.032366677375E-02;  2.486550311130E+06;  2.486556842681E+06
4;0.200084;262701;  1.056501341090E+04; -1.475157865543E-02;  1.070547600769E+06;  1.070599731469E+06
5;0.250085;262701; -8.374578838057E+02; -9.517445781888E-02;  3.340989005923E+05;  3.340999501836E+05
6;0.300017;262701; -2.867806355737E+04; -8.088109370376E-02;  5.322063191757E+05;  5.329784212330E+05
7;0.350201;262701;  9.625561911246E+03; -8.606197611704E-02;  1.862221660518E+06;  1.862246536940E+06
8;0.400149;262701;  6.995182939536E+04;  3.466064363633E-01;  2.634942851659E+06;  2.635871220288E+06
9;0.450138;262701; -2.461577251844E+04;  7.979012524706E-02;  1.465841046853E+06;  1.466047717810E+06
10;0.500134;262701; -8.752794145446E+04;  7.767383358219E-02;  6.884802287617E+04;  1.113606339297E+05
11;0.550070;262701;  2.819871283688E+03; -2.813241586660E-01;  7.389018499472E+05;  7.389072306654E+05
12;0.600162;262701;  6.063728919899E+04;  1.073267282955E-01;  1.605420843434E+06;  1.606565580788E+06
13;0.650205;262701; -4.409270853944E+04;  2.704718523375E-01;  2.284462397275E+06;  2.284887877230E+06
14;0.700090;262701;  1.209939845899E+04;  1.448762353985E-01;  1.727265970208E+06;  1.727308347482E+06
15;0.750200;262701;  2.562443183103E+04; -1.714849956542E-01;  4.766934445587E+05;  4.773816623959E+05
16;0.800170;262701; -3.854327703928E+03;  1.635171964897E-01;  3.306779023733E+05;  3.307003643181E+05
17;0.850170;262701; -2.170370279036E+04;  1.757390106576E-01;  1.518106169050E+06;  1.518261305317E+06
18;0.900029;262701; -2.552386387536E+03; -8.489447123925E-02;  2.379139656302E+06;  2.379141025426E+06
19;0.950026;262701;  2.821339688028E+04;  7.104418765545E-01;  1.746801548113E+06;  1.747029377044E+06
20;1.000092;262701;  5.772466066696E+03;  2.497903739328E+00;  7.615734975381E+05;  7.615953738851E+05
21;1.050202;262701; -3.409197491885E+04; -2.115880854821E+00;  3.814177126729E+05;  3.829382904581E+05
22;1.100024;262701; -7.370908934436E+02;  1.998054237912E+00;  9.781169128856E+05;  9.781171906167E+05
23;1.150023;262701;  4.238907647680E+04; -3.262258602562E+00;  2.410493505627E+06;  2.410866187594E+06
24;1.200104;262701; -2.776884624074E+04; -2.365004499948E+00;  2.092030535356E+06;  2.092214823982E+06
25;1.250205;262701; -6.640512846430E+03; -1.117091642334E+01;  7.127068837934E+05;  7.127378190767E+05
26;1.300191;262701;  1.354035291826E+04;  2.922959760078E+00;  4.015171384520E+05;  4.017453840885E+05
27;1.350194;262701;  3.860393228319E+03;  4.638565187042E+00;  1.057052076570E+06;  1.057059125706E+06
28;1.400102;262701;  1.049565343735E+02;  1.059039121876E+00;  1.952630175993E+06;  1.952630178814E+06
29;1.450054;262701; -1.006734909716E+04; -6.122703044697E+00;  2.105839023726E+06;  2.105863088001E+06
30;1.500052;262701;  5.589081343313E+03; -1.038201843220E+01;  1.354806048760E+06;  1.354817577276E+06
31;1.550198;262701;  1.024936537650E+04; -7.182606610104E-03;  3.481782721446E+05;  3.483290953742E+05
32;1.600136;262701; -6.978037658579E+03;  1.421810509996E+00;  5.459467919398E+05;  5.459913851344E+05
33;1.650060;262701; -2.898142089427E+02;  2.656590844339E+00;  1.934146180768E+06;  1.934146202483E+06
34;1.700092;262701; -5.991011552659E+02;  1.762750171912E+00;  2.370296243749E+06;  2.370296319463E+06
35;1.750088;262701;  5.077381274008E+03;  9.972260354836E-01;  1.377416261363E+06;  1.377425619360E+06
36;1.800007;262701;  2.669361298530E+03;  3.930359305142E-01;  4.024047037041E+05;  4.024135572431E+05
37;1.850097;262701; -6.491504158845E+03; -3.271032505976E+00;  5.412091430852E+05;  5.412480726949E+05
38;1.900165;262701; -1.211904472172E+03; -2.813787986485E+00;  1.700137059558E+06;  1.700137491500E+06
39;1.950040;262701;  1.495005922727E+04; -8.956907899634E+00;  2.329146161668E+06;  2.329194141064E+06
40;2.000048;262701; -4.450923789033E+03; -1.256718010913E+01;  1.589499515863E+06;  1.589505747649E+06
41;2.050165;262701; -1.357456118853E+04; -2.449371580980E+01;  5.054973343012E+05;  5.056795668178E+05
42;2.100200;262701;  1.535398274070E+04; -6.517038080356E+00;  5.985998618889E+05;  5.987967430455E+05
43;2.150103;262701;  1.176365046553E+04;  5.232943776642E+00;  1.470577088437E+06;  1.470624138431E+06
44;2.200045;262701; -2.566681851095E+04; -7.982169808673E+00;  2.005534476016E+06;  2.005698711204E+06
45;2.250170;262701;  5.638592689408E+03; -1.350929573154E+01;  1.905506818122E+06;  1.905515160742E+06
46;2.300097;262701;  3.261117066509E+04; -4.825556192190E+00;  9.327999083582E+05;  9.333697860486E+05
47;2.350130;262701; -2.320844368866E+04; -5.172573357029E+00;  3.007579296445E+05;  3.016520580557E+05
48;2.400097;262701; -1.211285199159E+04; -1.936217891062E+01;  1.164399108931E+06;  1.164462110349E+06
49;2.450156;262701;  2.786035377173E+04; -6.237355509221E+01;  2.124171369665E+06;  2.124354069102E+06
50;2.500019;262701;  3.508463530287E+03; -4.245831584343E+01;  2.008256174155E+06;  2.008259239279E+06
51;2.550152;262701; -1.157290683893E+04; -1.687459018831E+01;  1.016633924069E+06;  1.016699792478E+06
52;2.600028;262701; -2.547480515463E+03; -1.359662232874E+01;  4.234359555415E+05;  4.234436187820E+05
53;2.650090;262701;  1.246291056082E+04;  3.448470476656E+01;  9.380056244806E+05;  9.380884163479E+05
54;2.700105;262701;  8.755627083095E+03;  4.149203936922E+01;  1.929786428958E+06;  1.929806291864E+06
55;2.750074;262701; -1.099038061215E+04; -2.273898868255E+00;  2.165472224559E+06;  2.165500114017E+06
56;2.800029;262701; -7.374224544593E+03; -2.990071188293E+01;  1.200441597780E+06;  1.200464247598E+06
57;2.850198;262701;  1.916911121544E+04;  6.682538851185E+01;  4.290240664502E+05;  4.294521031313E+05
58;2.900084;262701;  4.240955240792E+03;  1.139447651973E+02;  8.934138409828E+05;  8.934239139090E+05
59;2.950134;262701; -1.156330772922E+04;  7.494833994909E+01;  1.711435014385E+06;  1.711474079315E+06
60;3.000038;262701;  9.817829081315E+00;  9.152972759838E+01;  2.072072373042E+06;  2.072072375086E+06
61;3.050156;262701;  1.175435648076E+04;  1.172538612771E+02;  1.552467777373E+06;  1.552512279638E+06
62;3.100194;262701;  9.081058900229E+03;  4.187081897504E+01;  6.160813013493E+05;  6.161482266924E+05
63;3.150091;262701; -1.180943389587E+04;  2.758198626495E+01;  5.420773613637E+05;  5.422059840990E+05
64;3.200049;262701; -6.294631291212E+03;  1.130659618476E+02;  1.573594071160E+06;  1.573606664944E+06
65;3.250142;262701;  2.201213030104E+04; -1.945031860059E+00;  2.245404437154E+06;  2.245512329130E+06
66;3.300201;262701;  2.601170672299E+03; -2.311862169447E+02;  1.571382841838E+06;  1.571385011752E+06
67;3.350113;262701; -1.558907723124E+04; -1.919403453997E+02;  6.682278083663E+05;  6.684096498735E+05
68;3.400058;262701;  8.931571974426E+03; -9.010509639687E+01;  6.633621724087E+05;  6.634223035742E+05
69;3.450090;262701;  8.383797639454E+03; -1.364372163756E+02;  1.376824740325E+06;  1.376850272269E+06
70;3.500201;262701; -2.280374211940E+03; -4.017026446498E+01;  1.996720055550E+06;  1.996721358116E+06
71;3.550176;262701;  2.730986086906E+03; -1.191553404773E+01;  1.793214527922E+06;  1.793216607545E+06
72;3.600106;262701; -1.565886398760E+02; -1.353326566610E+01;  9.608612768636E+05;  9.608612897183E+05
73;3.650164;262701;  4.329071412174E+03; -1.158480215015E+02;  5.638316258858E+05;  5.638482567403E+05
74;3.700130;262701;  8.466251278969E+03; -1.966969764752E+02;  1.128112820127E+06;  1.128144605552E+06
75;3.750163;262701; -8.695667431808E+03; -4.435706992536E+01;  1.922317754739E+06;  1.922337422719E+06
76;3.800107;262701; -2.817295327261E+03;  8.330956658146E+00;  1.924014141584E+06;  1.924016204255E+06
77;3.850195;262701;  2.109662337884E+04; -5.045082985118E+01;  1.165055312018E+06;  1.165246304488E+06
78;3.900172;262701; -1.279710572425E+03; -7.209898223790E+01;  5.575050963491E+05;  5.575065697484E+05
79;3.950004;262701; -2.127837419258E+04; -3.847634059971E+01;  9.188960255985E+05;  9.191423592401E+05
80;4.000049;262701;  1.552759087012E+04; -1.051991868985E+02;  1.820076039593E+06;  1.820142276594E+06
81;4.050067;262701;  1.794033722963E+04; -1.520768123573E+02;  2.021803500659E+06;  2.021883100999E+06
82;4.100175;262701; -1.784958373129E+04; -7.689024776940E+01;  1.283725437510E+06;  1.283849528746E+06
83;4.150098;262701; -5.567730311362E+03; -7.728340393782E+01;  6.377129192248E+05;  6.377372287548E+05
84;4.200070;262701;  1.556813440918E+04; -1.703420989996E+02;  8.393374963024E+05;  8.394818809984E+05
85;4.250068;262701;  5.380001964162E+03; -1.649903118900E+02;  1.603717447950E+06;  1.603726480576E+06
86;4.300019;262701; -1.212438383083E+04; -1.535680179017E+02;  2.005410936612E+06;  2.005447593170E+06
87;4.350179;262701; -1.786298193269E+03; -1.480378004280E+02;  1.521078654445E+06;  1.521079710529E+06
88;4.400179;262701;  1.244082350645E+04;  7.425605074696E+01;  7.369740760907E+05;  7.370790788194E+05
89;4.450193;262701;  1.259274592237E+03;  1.391543467663E+02;  7.005933635572E+05;  7.005945091113E+05
90;4.500106;262701; -1.092513818976E+04;  8.908093136804E+01;  1.455231383207E+06;  1.455272395550E+06
91;4.550087;262701; -3.452360359471E+02;  1.614887902273E+02;  1.967551572497E+06;  1.967551609412E+06
92;4.600162;262701;  9.624974281002E+03;  2.010329224149E+02;  1.649139278098E+06;  1.649167377530E+06
93;4.650144;262701; -2.505778620629E+03;  3.005722062502E+02;  9.222004423900E+05;  9.222038956838E+05
94;4.700162;262701; -7.872910736118E+03;  3.628314773350E+02;  6.253393854540E+05;  6.253890480094E+05
95;4.750103;262701;  5.539996978650E+02;  1.880748088091E+02;  1.220767877386E+06;  1.220768017579E+06
96;4.800130;262701;  3.639982405617E+03;  2.609478660142E+02;  1.970690420360E+06;  1.970693799265E+06
97;4.850125;262701; -2.611044322836E+03;  2.200320317550E+02;  1.784085616948E+06;  1.784087541172E+06
98;4.900189;262701; -9.292826275886E+03;  9.691009429375E+01;  9.617838202746E+05;  9.618287180958E+05
99;4.950013;262701; -9.580753572050E+02; -2.647409252088E+02;  6.606074067060E+05;  6.606081544993E+05
100;5.000115;262701;  4.660526935164E+03; -3.749408214235E+02;  1.162784057740E+06;  1.162793458025E+06
101;5.050167;262701; -7.469367006416E+03; -4.005456084788E+02;  1.751565330763E+06;  1.751581302655E+06
102;5.100153;262701; -9.929998052143E+03; -3.859019981862E+02;  1.803253415991E+06;  1.803280797897E+06
103;5.150034;262701; -1.186042795052E+03; -2.532147664629E+02;  1.254184688706E+06;  1.254185275069E+06
104;5.200144;262701; -8.029896692854E+03; -1.292094854305E+02;  6.780216390557E+05;  6.780691992442E+05
105;5.250114;262701;  2.829093593169E+03; -5.372651024036E+01;  8.490794764648E+05;  8.490841913561E+05
106;5.300043;262701; -1.158040013328E+04;  2.771842884840E+01;  1.810376636991E+06;  1.810413674882E+06
107;5.350193;262701; -2.857405864424E+04;  2.344070550007E+02;  1.865702989023E+06;  1.865921803030E+06
108;5.400194;262701;  1.589878397228E+04;  4.258706283852E+02;  1.237162632880E+06;  1.237264859637E+06
109;5.450194;262701; -3.368233421992E+03;  2.943875711606E+02;  7.419617568185E+05;  7.419694604508E+05
110;5.500195;262701; -2.153565719975E+04;  2.051866808770E+02;  8.939143067916E+05;  8.941737048914E+05
111;5.550105;262701; -5.721259387381E+03;  1.736003984982E+02;  1.553399873149E+06;  1.553410418674E+06
112;5.600031;262701;  2.924256419733E+03;  1.382456621600E+02;  1.876475748832E+06;  1.876478032470E+06
113;5.650122;262701; -1.596167472032E+04;  1.794603651839E+02;  1.415303837299E+06;  1.415393853011E+06
114;5.700168;262701; -1.628917781239E+04;  1.536384499560E+02;  7.924912196550E+05;  7.926586239668E+05
115;5.750086;262701;  2.826384187875E+03;  6.528478463979E+01;  8.047155975626E+05;  8.047205637177E+05
116;5.800117;262701; -5.555569984471E+03; -3.795432010377E+00;  1.429190493363E+06;  1.429201291173E+06
117;5.850003;262701; -2.381669245297E+04; -3.232182522335E+01;  1.822581120205E+06;  1.822736726906E+06
118;5.900149;262701; -1.168664891694E+04;  1.633519490320E+01;  1.529995849850E+06;  1.530040482663E+06
119;5.950134;262701; -8.556698800984E+02;  9.752548034625E+01;  9.220465728049E+05;  9.220469749983E+05
