Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N]
0;0.000000;247818; -6.579701469376E+02;  1.322243425437E+02; -1.223713656742E+04;  1.225552607441E+04
1;0.050069;247818;  6.645272410470E+01;  4.630471317740E+02;  1.613702513226E+06;  1.613702581029E+06
2;0.100126;247818;  1.157865252179E+04;  5.694305985482E+02;  2.490518085830E+06;  2.490545065902E+06
3;0.150088;247818; -6.956730021765E+03;  1.851981975823E+02;  2.984357765744E+06;  2.984365879772E+06
4;0.200076;247818;  2.621433119980E+04; -1.884023146602E+02;  1.597460052533E+06;  1.597675137847E+06
5;0.250067;247818; -2.631801048197E+03; -7.499944936676E+01;  2.320777656947E+05;  2.320926998669E+05
6;0.300001;247818; -3.519336332612E+04;  1.153086872799E+02;  8.442458905886E+05;  8.449791180225E+05
7;0.350190;247818;  1.335155574197E+04;  9.862249378793E+01;  2.499570349371E+06;  2.499606009998E+06
8;0.400129;247818;  1.085838694703E+05; -4.848075711373E+01;  3.118055179469E+06;  3.119945281776E+06
9;0.450117;247818; -3.229963953770E+04;  4.818970258757E+01;  1.761071880014E+06;  1.761368057964E+06
10;0.500112;247818; -1.316371858221E+05; -3.028255333861E+01;  2.060573172845E+05;  2.445157819338E+05
11;0.550050;247818; -5.083275112351E+03; -7.375751153026E+01;  9.328784590854E+05;  9.328923113369E+05
12;0.600153;247818;  6.597204939423E+04;  9.061605999790E-01;  2.086868033419E+06;  2.087910558479E+06
13;0.650197;247818; -5.355856131718E+04; -1.378207432760E+02;  3.024855199552E+06;  3.025329323684E+06
14;0.700063;247818;  3.331903029729E+04; -1.023251498412E+02;  2.045627731813E+06;  2.045899065305E+06
15;0.750171;247818;  3.150645008807E+04; -2.809463332926E+01;  4.197616166811E+05;  4.209423618801E+05
16;0.800136;247818;  5.446579450837E+03;  4.300397703827E+01;  6.157551309966E+05;  6.157792205212E+05
17;0.850145;247818; -3.168076217859E+04; -4.994915225989E+01;  2.136506116499E+06;  2.136740990159E+06
