Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N]
0;0.000000;233069;  1.000315576733E+02; -4.209445204828E+02; -3.013743441669E+04;  3.014054003866E+04
1;0.050069;233069;  1.887768846079E+02;  3.622105467997E+02;  6.263873826179E+05;  6.263875157888E+05
2;0.100126;233069;  5.893732163573E+03; -8.800645069120E+02;  1.918548604870E+06;  1.918557859394E+06
3;0.150086;233069; -4.390324340628E+03; -7.229334850538E+02;  2.223137337042E+06;  2.223141789660E+06
4;0.200084;233069;  1.274294722876E+04; -4.557674170552E+02;  8.543152081686E+05;  8.544103612060E+05
5;0.250084;233069;  4.207711420281E+03; -4.004020425018E+02;  1.941457537290E+05;  1.941917579306E+05
6;0.300015;233069; -2.221763734238E+04; -3.202661671809E+02;  5.204357907447E+05;  5.209099137736E+05
7;0.350199;233069;  1.054397223290E+04; -7.085426008937E+02;  1.793836759342E+06;  1.793867887151E+06
8;0.400144;233069;  4.990416705430E+04; -7.923381119485E+02;  2.361377373673E+06;  2.361904772548E+06
9;0.450130;233069; -2.489227606835E+04; -5.017137043281E+02;  1.130424622941E+06;  1.130698768583E+06
10;0.500127;233069; -6.588238170301E+04; -4.327257725002E+02; -8.411582233604E+04;  1.068463711959E+05
11;0.550064;233069;  6.341309479410E+03; -5.376301405411E+02;  7.395311612891E+05;  7.395585438420E+05
12;0.600157;233069;  4.083378192787E+04; -6.668735148438E+02;  1.598243776418E+06;  1.598765464765E+06
13;0.650200;233069; -2.766161523195E+04; -8.110112047740E+02;  2.066977636915E+06;  2.067162880424E+06
14;0.700074;233069;  1.055776460697E+04; -6.356519299708E+02;  1.284607210085E+06;  1.284650752014E+06
15;0.750184;233069;  1.430476014357E+04; -3.473693752581E+02;  2.232936463766E+05;  2.237516465647E+05
16;0.800162;233069; -2.273541268965E+03; -4.480258495567E+02;  4.130202016126E+05;  4.130267021115E+05
17;0.850160;233069; -1.481071038979E+04; -6.856709112056E+02;  1.627697470138E+06;  1.627764995809E+06
18;0.900014;233069; -2.539557960241E+03; -8.516538469391E+02;  2.167753719542E+06;  2.167755374404E+06
19;0.950009;233069;  1.990715833599E+04; -6.859741930714E+02;  1.256495565916E+06;  1.256653441757E+06
20;1.000076;233069;  2.116329355128E+03; -3.512144820372E+02;  3.987665158276E+05;  3.987722863325E+05
21;1.050194;233069; -2.358151429524E+04; -3.726301084464E+02;  4.478395014576E+05;  4.484600826556E+05
22;1.100024;233069;  5.230761357511E+02; -5.823563127720E+02;  1.216550104039E+06;  1.216550355877E+06
23;1.150023;233069;  2.847209590549E+04; -8.868518605857E+02;  2.281968826526E+06;  2.282146614919E+06
24;1.200090;233069; -1.863703290156E+04; -7.559275878188E+02;  1.534909111472E+06;  1.535022439869E+06
25;1.250187;233069; -4.368484925265E+03; -3.945280808564E+02;  2.419107326670E+05;  2.419504947142E+05
26;1.300157;233069;  9.095477385031E+03; -3.991321169670E+02;  4.223869461995E+05;  4.224850522031E+05
27;1.350204;233069;  2.761901086630E+03; -6.628484613402E+02;  1.375854997319E+06;  1.375857929117E+06
28;1.400060;233069; -1.149705149220E+03; -8.661972405974E+02;  1.941583623590E+06;  1.941584157206E+06
