Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N]
0;0.000000;233069;  6.911417570958E+01; -1.332255808463E+03; -6.971360285338E+04;  6.972636592500E+04
1;0.050069;233069; -3.090086269629E+01; -1.872569968117E+02;  1.546379233472E+06;  1.546379245118E+06
2;0.100125;233069;  9.829402400212E+03; -1.052847591094E+03;  2.373565504880E+06;  2.373586091044E+06
3;0.150086;233069; -3.902302566731E+03; -3.120955489805E+03;  2.784589214450E+06;  2.784593697752E+06
4;0.200073;233069;  2.519330099234E+04; -1.973052067491E+03;  1.423592724218E+06;  1.423816996596E+06
5;0.250064;233069; -1.038129881977E+02; -1.477604332008E+03;  1.494889885361E+05;  1.494963269958E+05
6;0.300206;233069; -3.034503195308E+04; -1.527252026498E+03;  7.944964569258E+05;  7.950772123075E+05
7;0.350187;233069;  5.344477198334E+03; -2.500816021104E+03;  2.424382673964E+06;  2.424389854651E+06
8;0.400125;233069;  8.778622700804E+04; -2.219302214619E+03;  2.924299319857E+06;  2.925617517562E+06
9;0.450110;233069; -1.557677785906E+04; -1.983518897348E+03;  1.528117414126E+06;  1.528198089814E+06
10;0.500107;233069; -1.131354479851E+05; -1.516493976052E+03;  8.151691284991E+04;  1.394522729300E+05
11;0.550045;233069; -2.055161543805E+04; -1.417782485044E+03;  9.484176943338E+05;  9.486413979633E+05
12;0.600150;233069;  5.949403506577E+04; -2.475858470505E+03;  2.062379963824E+06;  2.063239391168E+06
13;0.650194;233069; -5.533978249846E+04; -2.440493214049E+03;  2.800468291810E+06;  2.801016083668E+06
14;0.700067;233069;  3.292017941075E+04; -2.331754298368E+03;  1.760883974669E+06;  1.761193216980E+06
15;0.750181;233069;  2.822000498251E+04; -1.132329930136E+03;  2.598922818956E+05;  2.614223575771E+05
16;0.800153;233069;  8.672694101083E+03; -1.533796505086E+03;  6.526483697425E+05;  6.527077927237E+05
17;0.850160;233069; -2.624020018646E+04; -2.328825100645E+03;  2.188503066688E+06;  2.188661610308E+06
18;0.900016;233069; -6.608463296719E+03; -2.616382433336E+03;  2.789247116461E+06;  2.789256172159E+06
19;0.950004;233069;  3.045846399411E+04; -2.204003914817E+03;  1.750359283596E+06;  1.750625658824E+06
20;1.000061;233069;  7.965610338589E+03; -1.564082662551E+03;  5.698261015642E+05;  5.698839209230E+05
21;1.050179;233069; -3.625738866860E+04; -1.253210757190E+03;  6.232356938875E+05;  6.242907166583E+05
22;1.100023;233069; -6.257470344475E+03; -2.192978891814E+03;  1.658160964277E+06;  1.658174221408E+06
23;1.150115;233069;  5.595816327900E+04; -2.731125148964E+03;  2.979316535899E+06;  2.979843250267E+06
24;1.200196;233069; -3.469341386562E+04; -2.367979668933E+03;  2.061228495651E+06;  2.061521804779E+06
25;1.250045;233069; -2.433169071020E+04; -1.541981692853E+03;  4.059642678639E+05;  4.066957040130E+05
26;1.300009;233069;  1.874516837824E+04; -1.418814751727E+03;  6.029129084043E+05;  6.032059096969E+05
27;1.350086;233069;  1.234223752679E+04; -2.146263321300E+03;  1.801592987792E+06;  1.801636542406E+06
28;1.400135;233069; -2.792503620983E+03; -2.721807486646E+03;  2.588601656188E+06;  2.588604593354E+06
29;1.450086;233069; -1.682488186483E+04; -2.582643039976E+03;  2.103387727404E+06;  2.103456602474E+06
30;1.500092;233069;  5.736357280423E+03; -1.901794267677E+03;  1.005235636112E+06;  1.005253802144E+06
31;1.550070;233069;  1.175140327541E+04; -1.335712128636E+03;  4.075405042765E+05;  4.077120825188E+05
32;1.600120;233069; -7.416184471015E+03; -2.037205544060E+03;  1.293155596600E+06;  1.293178466808E+06
33;1.650090;233069; -1.187794703442E+03; -3.060264266479E+03;  2.754500380980E+06;  2.754502337064E+06
34;1.700032;233069; -7.679670773565E+02; -2.498670656141E+03;  2.397142798050E+06;  2.397144223315E+06
35;1.750058;233069;  4.584012804092E+03; -1.798928758945E+03;  9.292168118922E+05;  9.292298600568E+05
36;1.800025;233069;  5.461586471066E+03; -1.521788473366E+03;  4.092442036889E+05;  4.092834751366E+05
37;1.850031;233069; -6.423744014919E+03; -2.058149947099E+03;  1.239872488916E+06;  1.239890837630E+06
38;1.900134;233069; -5.016644809692E+03; -2.695482068018E+03;  2.573636664546E+06;  2.573642965418E+06
39;1.950080;233069;  2.043248058193E+04; -2.878846854904E+03;  2.517230768372E+06;  2.517315338860E+06
40;2.000080;233069; -5.729286337325E+03; -2.161526888151E+03;  1.114305707138E+06;  1.114322532250E+06
41;2.050194;233069; -1.977828856806E+04; -1.525274836308E+03;  3.163125175538E+05;  3.169339299022E+05
42;2.100097;233069;  2.173271703273E+04; -1.828406928516E+03;  1.271991806205E+06;  1.272178764606E+06
43;2.150026;233069;  1.699305446995E+04; -2.396061540649E+03;  2.465699900363E+06;  2.465759620008E+06
44;2.200111;233069; -3.742140416448E+04; -2.652374798650E+03;  2.282897760697E+06;  2.283205987723E+06
45;2.250179;233069;  7.405547981058E+03; -2.462293317617E+03;  1.436058101666E+06;  1.436079307138E+06
46;2.300049;233069;  3.713711552262E+04; -1.800273561312E+03;  6.411100503432E+05;  6.421872803048E+05
47;2.350082;233069; -2.938459553134E+04; -2.029081399638E+03;  8.344806015090E+05;  8.350002670183E+05
48;2.400054;233069; -1.445574639638E+04; -2.526500936598E+03;  2.223921873331E+06;  2.223970289930E+06
49;2.450131;233069;  3.744557563903E+04; -2.535105122003E+03;  2.607785763001E+06;  2.608055824479E+06
50;2.500141;233069;  3.281468119268E+03; -2.505015925840E+03;  1.529885320825E+06;  1.529890890886E+06
51;2.550099;233069; -1.528875288312E+04; -1.678294309240E+03;  5.608904891698E+05;  5.611013308464E+05
52;2.600042;233069; -2.172049207301E+03; -1.713698228863E+03;  8.941766174603E+05;  8.941808976779E+05
53;2.650136;233069;  1.738913458811E+04; -2.452292327490E+03;  2.026278997048E+06;  2.026355094651E+06
54;2.700155;233069;  8.064200258564E+03; -2.635019811012E+03;  2.540241459143E+06;  2.540255625996E+06
55;2.750122;233069; -1.216689963035E+04; -2.858203389073E+03;  1.811098839192E+06;  1.811141962436E+06
56;2.800160;233069; -9.328872479142E+03; -1.937610873697E+03;  6.273151447450E+05;  6.273874983007E+05
