Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N]
0;0.000000;262701; -4.547473508865E-13; -1.953259776144E-11;  4.697731135113E+04;  4.697731135113E+04
1;0.050069;262701; -5.439228143570E-01; -4.632508150993E-03;  1.661084621533E+06;  1.661084621533E+06
2;0.100126;262701;  1.067179340320E+04; -5.178622980779E-02;  2.609217859809E+06;  2.609239683725E+06
3;0.150088;262701; -6.576777683954E+03; -1.560815763481E-01;  3.219882345373E+06;  3.219889062072E+06
4;0.200076;262701;  2.114399867884E+04; -2.028824677250E-01;  1.802676764320E+06;  1.802800761398E+06
5;0.250068;262701; -5.811792883954E+03; -5.351813970481E-01;  3.084859313904E+05;  3.085406728498E+05
6;0.300003;262701; -3.930278624326E+04;  5.538026507052E-02;  8.406023554102E+05;  8.415206645874E+05
7;0.350191;262701;  1.205364971128E+04; -1.227590680015E-01;  2.544646012433E+06;  2.544674560541E+06
8;0.400133;262701;  1.248451910703E+05; -2.070656144095E-01;  3.330314200404E+06;  3.332653446601E+06
9;0.450124;262701; -3.584247672647E+04; -4.247807821475E-01;  2.064801967669E+06;  2.065113035363E+06
10;0.500119;262701; -1.427338457706E+05; -1.050369242942E-01;  3.580794475680E+05;  3.854787173101E+05
11;0.550065;262701; -1.996203297726E+03;  1.307666638053E-01;  8.595082354784E+05;  8.595105535611E+05
12;0.600007;262701;  8.202823307012E+04; -4.693306914102E-02;  2.037553589650E+06;  2.039204075544E+06
13;0.650200;262701; -6.059742353415E+04;  1.491554065974E-01;  3.255463426201E+06;  3.256027359694E+06
14;0.700073;262701;  3.374046289948E+04;  1.012685225173E-01;  2.421662292614E+06;  2.421897330256E+06
15;0.750112;262701;  3.975205653900E+04;  6.197100299354E-01;  6.500778410803E+05;  6.512921199148E+05
16;0.800062;262701;  5.982128343397E+03;  3.871670176615E+00;  5.325249677517E+05;  5.325585668764E+05
17;0.850046;262701; -3.789325985393E+04;  2.203107924815E-01;  1.961658601474E+06;  1.962024558430E+06
18;0.900068;262701; -6.569715344315E+03;  5.525251206891E-01;  3.099911741455E+06;  3.099918703123E+06
19;0.950195;262701;  4.126913733136E+04;  8.967270948707E+00;  2.550243503314E+06;  2.550577398938E+06
20;1.000046;262701;  1.365797161437E+04;  6.567448378552E-01;  1.160130612816E+06;  1.160211006232E+06
21;1.050071;262701; -5.273850958169E+04; -1.723642990145E+01;  5.089445406995E+05;  5.116697139736E+05
22;1.100204;262701; -8.048089291657E+03; -2.664704472821E+01;  1.262788886235E+06;  1.262814532563E+06
23;1.150176;262701;  7.758891742594E+04;  3.970190656514E+00;  3.143776372227E+06;  3.144733680091E+06
24;1.200112;262701; -3.816655491244E+04;  5.578320573200E+01;  2.941895916214E+06;  2.942143482372E+06
25;1.250124;262701; -3.526995497562E+04; -4.285639565597E+01;  1.183864708494E+06;  1.184389977827E+06
26;1.300163;262701;  2.414315372056E+04; -8.006281292233E+00;  5.902287617361E+05;  5.907223401194E+05
27;1.350114;262701;  1.716222581106E+04;  4.031910499979E+01;  1.270545841005E+06;  1.270661747955E+06
28;1.400003;262701; -2.896389986445E+03;  3.322479743372E+01;  2.539622974828E+06;  2.539624626683E+06
29;1.450042;262701; -1.871902247469E+04; -2.583351778727E+01;  2.959290783312E+06;  2.959349986511E+06
30;1.500032;262701;  7.025035002674E+03;  7.027474057071E+00;  2.006290826824E+06;  2.006303125892E+06
31;1.550168;262701;  1.751208793293E+04;  1.318636815642E+01;  5.703413350202E+05;  5.706101224394E+05
32;1.600078;262701; -9.643684877390E+03;  5.732988700612E+01;  6.653402428761E+05;  6.654101312237E+05
33;1.650101;262701; -5.661483015677E+03;  1.302526105062E+02;  2.446541686006E+06;  2.446548240015E+06
34;1.700035;262701;  6.340136957476E+02; -3.730800996747E+01;  3.180106467477E+06;  3.180106530897E+06
35;1.750129;262701;  9.722592728187E+03; -1.156433286825E+01;  2.118300504023E+06;  2.118322816354E+06
36;1.800144;262701;  5.998987247323E+03;  7.929447918091E+01;  7.856565264502E+05;  7.856794331593E+05
37;1.850115;262701; -1.238158087190E+04;  2.855975252380E+01;  5.920906575478E+05;  5.922201036067E+05
38;1.900038;262701; -5.490893665243E+03;  4.762176438051E+01;  2.036794282322E+06;  2.036801684180E+06
39;1.950018;262701;  2.728024970240E+04;  9.398950321178E+01;  3.138491314874E+06;  3.138609876107E+06
40;2.000056;262701; -2.206713108514E+03;  9.347147580572E+01;  2.427432600313E+06;  2.427433605144E+06
41;2.050037;262701; -2.930636668086E+04;  5.945235793271E+01;  9.459601626392E+05;  9.464140193187E+05
42;2.100071;262701;  2.285387400199E+04;  2.895273994806E+01;  7.011953815404E+05;  7.015677183913E+05
43;2.150137;262701;  2.748725790132E+04;  4.225500342611E+01;  1.727298915744E+06;  1.727517610753E+06
44;2.200128;262701; -4.852853987746E+04;  5.870222442940E+01;  2.652683830346E+06;  2.653127687543E+06
45;2.250097;262701;  5.957646181038E+03;  8.737167610711E+01;  2.796848929936E+06;  2.796855276568E+06
46;2.300167;262701;  5.510006297029E+04; -6.777295586968E+01;  1.565846239468E+06;  1.566815390271E+06
47;2.350046;262701; -3.538123455908E+04; -1.553769853579E+02;  4.194272212296E+05;  4.209169155657E+05
48;2.400010;262701; -2.725328792164E+04; -1.152743550813E+02;  1.289105617362E+06;  1.289393674447E+06
49;2.450053;262701;  4.451325209947E+04; -1.724364229814E+02;  2.690826869541E+06;  2.691195032173E+06
50;2.500093;262701;  1.109917884770E+04; -2.517387956573E+02;  2.889312286238E+06;  2.889333615654E+06
51;2.550019;262701; -2.098799929850E+04; -2.152795058757E+02;  1.760094288496E+06;  1.760219431451E+06
52;2.600084;262701; -1.107559360483E+04; -1.314689131024E+02;  6.879388749109E+05;  6.880280384340E+05
53;2.650070;262701;  2.233623788674E+04; -6.023666392020E+01;  9.605650567138E+05;  9.608247183181E+05
54;2.700142;262701;  2.225031833490E+04; -3.926707542039E+01;  2.333248768979E+06;  2.333354858600E+06
55;2.750056;262701; -1.705417597081E+04; -9.000310353554E+01;  3.099594938461E+06;  3.099641856013E+06
56;2.800065;262701; -1.675521268056E+04; -8.246748338746E+01;  2.009050246250E+06;  2.009120114854E+06
57;2.850032;262701;  3.784648770168E+04; -2.161067208375E+01;  7.688325443031E+05;  7.697634950282E+05
58;2.900151;262701;  1.089913538331E+04;  6.552055390018E+00;  9.813042435535E+05;  9.813647688862E+05
59;2.950051;262701; -2.724890764661E+04;  1.583515547223E+02;  1.958230586514E+06;  1.958420168912E+06
60;3.000118;262701;  4.987194399223E+03;  2.128302037037E+02;  2.838127495594E+06;  2.838131885352E+06
61;3.050201;262701;  2.770481845202E+04;  1.175522109491E+02;  2.518223331115E+06;  2.518375729743E+06
62;3.100120;262701;  1.599942496009E+04;  1.118116502887E+02;  1.134418606547E+06;  1.134531431464E+06
63;3.150133;262701; -1.785032274462E+04;  1.423498484622E+02;  5.714345076748E+05;  5.717132592892E+05
64;3.200011;262701; -9.111188065682E+03;  2.005178422504E+02;  1.702583128770E+06;  1.702607519168E+06
65;3.250149;262701;  3.499899049853E+04;  2.785720099625E+02;  2.953692316269E+06;  2.953899677736E+06
66;3.300096;262701;  1.307479992727E+04;  2.766086866910E+02;  2.537983174203E+06;  2.538016867446E+06
67;3.350021;262701; -2.346342351548E+04;  1.663565687827E+02;  1.332294409898E+06;  1.332501014845E+06
68;3.400118;262701;  1.694437572542E+04;  9.102028877606E+01;  7.892421201513E+05;  7.894239953120E+05
69;3.450116;262701;  1.101135321685E+04;  8.430817972933E+01;  1.408856440943E+06;  1.408899474127E+06
70;3.500154;262701;  2.005729038074E+03;  1.991479288887E+02;  2.534666293816E+06;  2.534667095225E+06
71;3.550194;262701;  6.110828071091E+03;  2.143580667073E+02;  2.786830327664E+06;  2.786837035666E+06
72;3.600104;262701; -4.647511398845E+03;  2.899078284908E+02;  1.757337448417E+06;  1.757343617799E+06
73;3.650160;262701;  1.244396536441E+04;  2.298978886858E+02;  8.040472227858E+05;  8.041435453926E+05
74;3.700023;262701;  2.495592935500E+04;  1.588651916697E+02;  1.102796920503E+06;  1.103079268012E+06
75;3.750089;262701; -1.349832157056E+04;  1.484540369478E+02;  2.271374177524E+06;  2.271414290932E+06
76;3.800105;262701; -1.238498814451E+04;  4.801655760316E+01;  2.870522667394E+06;  2.870549385442E+06
77;3.850022;262701;  4.827411666392E+04;  1.448550831809E+02;  2.125250489068E+06;  2.125798685814E+06
78;3.900034;262701;  1.025320841820E+04;  1.736438271549E+02;  9.084928572824E+05;  9.085507306519E+05
79;3.950121;262701; -4.925985991146E+04;  1.187590245065E+02;  8.619869641695E+05;  8.633933485384E+05
80;4.000153;262701;  3.167137748909E+04;  1.054527962077E+01;  2.066851699850E+06;  2.067094343623E+06
81;4.050060;262701;  4.351438157436E+04;  3.688405468569E+01;  2.859056845271E+06;  2.859387967250E+06
82;4.100099;262701; -3.292686295268E+04;  2.512249276352E+01;  2.289578030899E+06;  2.289814782577E+06
83;4.150098;262701; -6.387782136580E+03; -1.220263547247E+02;  1.187398401603E+06;  1.187415589750E+06
84;4.200005;262701;  3.190084294995E+04;  3.818568997225E+01;  8.272161739513E+05;  8.278310598701E+05
85;4.250020;262701;  7.978243068769E+03;  3.172430497135E+02;  1.667559184682E+06;  1.667578300238E+06
86;4.300133;262701; -1.065065441970E+04;  3.530666707417E+02;  2.717740182928E+06;  2.717761075407E+06
87;4.350052;262701;  1.588935769667E+03;  3.795632450444E+02;  2.602771338139E+06;  2.602771850820E+06
88;4.400133;262701;  1.705403237803E+04;  3.331752111893E+02;  1.419142240114E+06;  1.419244745878E+06
89;4.450093;262701;  1.145554924167E+04;  1.868698536846E+02;  7.608461172025E+05;  7.609323745188E+05
90;4.500060;262701; -6.351219839980E+03;  1.701373472157E+02;  1.459074170741E+06;  1.459088003742E+06
91;4.550005;262701; -1.308622174268E+04;  1.622622459025E+02;  2.505237958140E+06;  2.505272141392E+06
92;4.600029;262701;  2.585566241158E+04;  9.578578808952E+01;  2.667155517178E+06;  2.667280839594E+06
93;4.650065;262701;  1.851002576283E+04;  7.041124723136E+01;  1.799618470710E+06;  1.799713662262E+06
94;4.700001;262701; -2.149396728620E+04;  1.459122210723E+02;  8.580056830616E+05;  8.582748767651E+05
95;4.750020;262701; -5.923043730833E+03;  1.702613983846E+02;  1.102604924759E+06;  1.102620846682E+06
96;4.800172;262701;  2.469569370716E+04;  2.057580738537E+02;  2.309028220117E+06;  2.309160289135E+06
97;4.850186;262701;  7.671291276188E+03;  2.253608844161E+01;  2.808762383131E+06;  2.808772859117E+06
98;4.900133;262701; -2.095652444500E+04;  2.638743882262E+01;  1.964064159940E+06;  1.964175959779E+06
99;4.950005;262701; -6.616423167905E+01;  2.217043813955E+02;  9.885050361802E+05;  9.885050632567E+05
100;5.000125;262701;  2.388548493150E+04;  2.681466948689E+02;  1.055799861320E+06;  1.056070042874E+06
101;5.050033;262701; -5.653956190579E+03;  2.446844730908E+02;  1.977268108925E+06;  1.977276207732E+06
102;5.100076;262701; -2.278389688176E+04;  3.049885329400E+02;  2.676474940750E+06;  2.676571932050E+06
103;5.150106;262701;  1.432385026021E+04;  2.548576981873E+02;  2.296460665943E+06;  2.296505351150E+06
104;5.200029;262701;  9.880722684976E+03;  1.557238632104E+02;  1.246466981025E+06;  1.246506152297E+06
105;5.250128;262701; -1.520631628172E+04;  1.035174687538E+02;  8.759852262760E+05;  8.761172064425E+05
106;5.300067;262701; -5.145098953813E+03;  3.076723900716E+02;  1.673310189251E+06;  1.673318127600E+06
107;5.350122;262701; -8.006229798178E+02;  2.869920953091E+02;  2.616569737127E+06;  2.616569875354E+06
108;5.400080;262701; -4.184334855047E+03;  1.922679522786E+02;  2.496469644653E+06;  2.496473158738E+06
109;5.450057;262701; -1.552137970454E+03;  8.838744541468E+01;  1.458842740829E+06;  1.458843569206E+06
110;5.500094;262701; -1.257195701140E+04; -8.669482426606E-01;  8.252151687422E+05;  8.253109285755E+05
111;5.550064;262701; -1.128404291986E+04;  5.044352513537E+01;  1.430010324886E+06;  1.430054845608E+06
112;5.600042;262701;  7.037005536723E+03;  1.462005458782E+01;  2.492253473326E+06;  2.492263408023E+06
113;5.650119;262701; -1.273999049322E+04; -8.080230019260E+01;  2.576989227093E+06;  2.577020719831E+06
114;5.700092;262701; -3.273857268234E+04; -9.701496624527E+01;  1.644708821215E+06;  1.645034628856E+06
115;5.750129;262701;  1.947813404806E+03; -1.224287544349E+02;  9.503641444211E+05;  9.503661483697E+05
116;5.800092;262701;  8.586076333480E+03; -8.837442371992E+01;  1.248996210737E+06;  1.249025725496E+06
117;5.850041;262701; -2.747728101599E+04; -1.027896412957E+02;  2.168542919482E+06;  2.168716995178E+06
118;5.900125;262701; -3.203913239105E+04;  1.360578461898E+01;  2.640978085386E+06;  2.641172420286E+06
119;5.950111;262701; -4.563738006351E+03;  9.555325920931E+01;  1.980533913250E+06;  1.980539173651E+06
120;6.000048;262701; -2.135079218459E+03;  1.484235429464E+02;  9.947197885798E+05;  9.947220910310E+05
121;6.050181;262701; -2.292030649753E+04;  9.335383755703E+01;  1.020500373355E+06;  1.020757738733E+06
122;6.100034;262701; -2.728063050662E+04;  3.753781543905E+01;  2.012118746586E+06;  2.012303676033E+06
123;6.150006;262701; -1.359415962456E+04;  2.110067814628E+01;  2.643115185350E+06;  2.643150144174E+06
